,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300796.SZ,20200228,21.34,21.34,19.96,19.97,21.94,-1.97,-8.979,26792.34,55184.15
1,300796.SZ,20200227,22.1,22.4,21.8,21.94,22.2,-0.26,-1.1712,15767.63,34782.533
2,300796.SZ,20200226,22.01,22.7,21.9,22.2,22.25,-0.05,-0.2247,20583.92,46074.874
3,300796.SZ,20200225,22.3,22.7,21.3,22.25,23.04,-0.79,-3.4288,29634.98,65678.339
4,300796.SZ,20200224,22.85,23.08,22.57,23.04,22.88,0.16,0.6993,25586.24,58501.082
5,300796.SZ,20200221,22.88,23.15,22.8,22.88,23.03,-0.15,-0.6513,22515.73,51579.836
6,300796.SZ,20200220,22.8,23.14,22.6,23.03,22.91,0.12,0.5238,22549.6,51676.836
7,300796.SZ,20200219,23.4,23.4,22.89,22.91,23.59,-0.68,-2.8826,37626.41,86802.84
8,300796.SZ,20200218,23.51,24.1,23.23,23.59,24.1,-0.51,-2.1162,57727.75,136342.577
9,300796.SZ,20200217,22.31,24.1,22.3,24.1,21.91,2.19,9.9954,60523.69,141545.419
10,300796.SZ,20200214,21.31,22.45,20.5,21.91,21.71,0.2,0.9212,28986.39,62880.562
11,300796.SZ,20200213,21.6,22.68,21.6,21.71,21.41,0.3,1.4012,34045.29,75190.902
12,300796.SZ,20200212,21.18,21.55,20.91,21.41,21.08,0.33,1.5655,18161.7,38785.405
13,300796.SZ,20200211,21.21,21.29,20.75,21.08,21.38,-0.3,-1.4032,20349.99,42939.193
14,300796.SZ,20200210,20.48,21.46,20.48,21.38,20.31,1.07,5.2683,30036.53,63348.349
15,300796.SZ,20200207,19.99,20.4,19.8,20.31,19.87,0.44,2.2144,24715.66,49689.693
16,300796.SZ,20200206,19.38,19.99,19.35,19.87,19.24,0.63,3.2744,26519.96,52437.216
17,300796.SZ,20200205,19.2,19.61,18.98,19.24,18.89,0.35,1.8528,23019.8,44462.572
18,300796.SZ,20200204,18.19,19.18,18.19,18.89,20.21,-1.32,-6.5314,33371.29,62598.506
19,300796.SZ,20200203,20.21,20.21,20.21,20.21,22.45,-2.24,-9.9777,2995.0,6052.895
20,300796.SZ,20200123,23.79,23.9,22.01,22.45,24.37,-1.92,-7.8785,36963.2,85422.382
21,300796.SZ,20200122,24.59,24.78,24.2,24.37,24.62,-0.25,-1.0154,18476.49,45197.777
22,300796.SZ,20200121,25.18,25.18,24.6,24.62,25.28,-0.66,-2.6108,17068.99,42320.587
23,300796.SZ,20200120,24.79,25.28,24.53,25.28,24.78,0.5,2.0178,15502.08,38763.719
24,300796.SZ,20200117,24.95,25.16,24.73,24.78,24.94,-0.16,-0.6415,16626.75,41401.738
25,300796.SZ,20200116,25.57,25.68,24.9,24.94,25.67,-0.73,-2.8438,26383.22,66559.268
26,300796.SZ,20200115,25.61,25.93,25.39,25.67,25.68,-0.01,-0.0389,34188.18,87540.888
27,300796.SZ,20200114,25.13,25.7,25.07,25.68,25.06,0.62,2.4741,41865.66,106098.662
28,300796.SZ,20200113,24.88,25.43,24.48,25.06,24.82,0.24,0.967,26764.41,66742.834
29,300796.SZ,20200110,25.19,25.19,24.76,24.82,25.12,-0.3,-1.1943,24292.28,60509.03
30,300796.SZ,20200109,25.03,25.29,24.93,25.12,24.8,0.32,1.2903,20696.59,51958.226
31,300796.SZ,20200108,25.49,25.65,24.8,24.8,25.77,-0.97,-3.7641,37957.9,95844.302
32,300796.SZ,20200107,25.64,26.14,25.31,25.77,25.87,-0.1,-0.3865,44997.45,115468.235
33,300796.SZ,20200106,25.2,26.09,24.8,25.87,25.46,0.41,1.6104,59074.24,151405.222
34,300796.SZ,20200103,25.08,25.94,24.86,25.46,25.21,0.25,0.9917,48134.86,122201.669
35,300796.SZ,20200102,24.62,25.39,24.44,25.21,24.62,0.59,2.3964,37343.37,93089.229
36,300796.SZ,20191231,24.17,24.79,24.1,24.62,24.08,0.54,2.2425,31259.35,76371.972
37,300796.SZ,20191230,24.66,24.8,23.51,24.08,25.08,-1.0,-3.9872,39001.3,93902.674
38,300796.SZ,20191227,25.42,25.84,25.01,25.08,25.64,-0.56,-2.1841,38851.57,99067.515
39,300796.SZ,20191226,25.08,25.67,24.93,25.64,25.19,0.45,1.7864,43069.64,109546.911
40,300796.SZ,20191225,25.11,25.19,24.56,25.19,25.34,-0.15,-0.5919,37477.74,93034.855
41,300796.SZ,20191224,25.24,25.6,25.15,25.34,25.24,0.1,0.3962,27875.31,70828.824
42,300796.SZ,20191223,25.76,25.76,25.13,25.24,25.6,-0.36,-1.4063,30707.7,77879.911
43,300796.SZ,20191220,26.77,26.77,25.4,25.6,26.95,-1.35,-5.0093,74055.6,191934.326
44,300796.SZ,20191219,26.67,27.36,26.5,26.95,26.72,0.23,0.8608,74441.19,201283.989
45,300796.SZ,20191218,26.8,27.05,26.64,26.72,27.15,-0.43,-1.5838,69340.24,185945.843
46,300796.SZ,20191217,26.85,27.3,26.5,27.15,27.05,0.1,0.3697,96082.36,258020.632
47,300796.SZ,20191216,28.6,28.6,26.5,27.05,26.98,0.07,0.2595,149410.24,410373.134
48,300796.SZ,20191213,24.28,26.98,24.28,26.98,24.53,2.45,9.9878,58448.9,154440.394
49,300796.SZ,20191212,25.99,26.01,24.41,24.53,26.32,-1.79,-6.8009,82126.67,206826.988
50,300796.SZ,20191211,25.55,26.34,25.15,26.32,25.76,0.56,2.1739,88984.88,229960.058
51,300796.SZ,20191210,24.9,26.8,24.9,25.76,24.89,0.87,3.4954,110057.41,284310.531
52,300796.SZ,20191209,24.08,24.89,24.06,24.89,24.06,0.83,3.4497,68269.64,167085.773
53,300796.SZ,20191206,24.89,24.89,24.05,24.06,24.99,-0.93,-3.7215,71062.57,173052.141
54,300796.SZ,20191205,24.9,25.17,24.7,24.99,24.9,0.09,0.3614,54729.98,136702.464
55,300796.SZ,20191204,24.5,25.45,24.5,24.9,24.86,0.04,0.1609,55299.96,138502.092
56,300796.SZ,20191203,25.2,25.22,24.62,24.86,25.8,-0.94,-3.6434,68009.0,169274.949
57,300796.SZ,20191202,26.1,26.46,25.51,25.8,26.71,-0.91,-3.407,69981.99,181880.387
58,300796.SZ,20191129,26.32,26.71,25.12,26.71,26.71,0.0,0.0,90690.5,234352.2
59,300796.SZ,20191128,26.3,27.68,26.2,26.71,26.6,0.11,0.4135,92978.91,252167.329
60,300796.SZ,20191127,26.18,27.16,25.74,26.6,27.18,-0.58,-2.1339,89766.61,237830.445
61,300796.SZ,20191126,28.5,28.8,27.18,27.18,30.2,-3.02,-10.0,138981.0,384388.476
62,300796.SZ,20191125,33.3,34.21,29.74,30.2,33.04,-2.84,-8.5956,191087.63,593749.223
63,300796.SZ,20191122,30.99,33.04,30.51,33.04,30.04,3.0,9.9867,132957.66,430487.367
64,300796.SZ,20191121,30.04,30.04,27.95,30.04,27.31,2.73,9.9963,172376.61,508162.392
65,300796.SZ,20191120,27.31,27.31,27.31,27.31,24.83,2.48,9.9879,677.6,1850.525
66,300796.SZ,20191119,24.83,24.83,24.83,24.83,22.57,2.26,10.0133,391.29,971.573
67,300796.SZ,20191118,22.57,22.57,22.57,22.57,20.52,2.05,9.9903,558.07,1259.563
68,300796.SZ,20191115,17.1,20.52,17.1,20.52,14.25,6.27,44.0,1924.33,3939.138
